City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Anaco,VE,96.24,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
561,Tabora,TZ,70.39,scattered clouds,-5.0167,32.8,Barcelona Lodge
563,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
564,Sao Filipe,CV,75.09,broken clouds,14.8961,-24.4956,Hotel Xaguate
568,Mingaora,PK,70.25,clear sky,34.7758,72.3625,Burj Al Swat
569,Chhabra,IN,92.97,clear sky,24.6667,76.8333,"मालव समाज धर्मशाला, छबड़ा ।"
574,Umuarama,BR,82.06,broken clouds,-23.7664,-53.325,HOTEL CAIUÁ
577,Manama,BH,84.38,clear sky,26.2154,50.5832,Al Safir Hotel
578,Itaqui,BR,79.09,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
585,Rosa Zarate,EC,85.35,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
586,Senanga,ZM,68.02,broken clouds,-16.1167,23.2667,Zango lodge
587,Moche,PE,69.98,fog,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
588,Carayao,PY,89.8,scattered clouds,-25.1833,-56.4,Familia Gimenez
592,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
594,El Retorno,CO,91.65,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
598,Monte Patria,CL,75.78,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
600,Dunmore Town,BS,73.2,overcast clouds,25.5,-76.65,Coral Sands Hotel
603,Zajecar,RS,65.44,broken clouds,43.9036,22.2641,Hotel Hamburg
606,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
608,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
610,Lukulu,ZM,67.46,light rain,-14.3707,23.242,Ruth Guest House
611,Jawhar,SO,81.91,broken clouds,2.7809,45.5005,hantiwadaag village part one
614,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
615,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
619,Santa Cruz Cabralia,BR,84.43,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
624,Progreso,MX,83.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
627,Necochea,AR,73.35,few clouds,-38.5473,-58.7368,dyd -mar Hotel
